Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666913951.846309,0,85146,0,GPS1_Frame,42.33713733333334,-71.08950333333334,9.7,327865.1269687688,4689323.729024279,19.0,T
1666913953.6614985,0,85147,0,GPS1_Frame,42.337137166666665,-71.08950316666666,9.5,327865.1402447083,4689323.710179819,19.0,T
1666913955.4771187,0,85148,0,GPS1_Frame,42.337137166666665,-71.089503,9.3,327865.1539754097,4689323.709842423,19.0,T
1666913957.2922292,0,85149,0,GPS1_Frame,42.33713733333334,-71.089503,9.2,327865.1544301715,4689323.728349487,19.0,T
1666913959.1045427,0,85151,0,GPS1_Frame,42.337138,-71.089503,9.1,327865.1562492185,4689323.802377743,19.0,T
1666913960.919198,0,85152,0,GPS1_Frame,42.337139166666674,-71.08950433333332,9.0,327865.04958694335,4689323.934626352,19.0,T
1666913962.7332509,0,85153,0,GPS1_Frame,42.33714,-71.0895045,8.9,327865.0381300509,4689324.027499064,19.0,T
1666913964.5477784,0,85154,0,GPS1_Frame,42.33714083333333,-71.08950516666667,8.7,327864.98548105697,4689324.121383964,19.0,T
1666913966.3621976,0,85155,0,GPS1_Frame,42.33714150000001,-71.08950566666667,8.6,327864.9461080048,4689324.196424408,19.0,T
1666913968.1740243,0,85156,0,GPS1_Frame,42.33714216666667,-71.08950516666667,8.5,327864.9891191552,4689324.269440475,19.0,T
1666913969.989127,0,85157,0,GPS1_Frame,42.33714233333333,-71.08950466666667,8.4,327865.0307660203,4689324.286935352,19.0,T
1666913971.6023889,0,85171,0,GPS1_Frame,42.33732499999999,-71.08960083333334,8.0,327857.6065949581,4689344.76535923,19.0,T
1666913974.8262985,0,85172,0,GPS1_Frame,42.33736066666667,-71.0896125,8.1,327856.74277320737,4689348.749489851,19.0,T
1666913976.6413913,0,85173,0,GPS1_Frame,42.337391833333335,-71.08962316666666,8.0,327855.9490571498,4689352.231905401,19.0,T
1666913978.4572866,0,85174,0,GPS1_Frame,42.33741416666667,-71.08963116666668,8.2,327855.35092825524,4689354.728047994,19.0,T
1666913980.269513,0,85175,0,GPS1_Frame,42.33742766666666,-71.08963683333333,8.5,327854.9209247142,4689356.238592394,19.0,T
1666913982.082768,0,85176,0,GPS1_Frame,42.33743583333333,-71.0896405,8.7,327854.6411355862,4689357.152861745,19.0,T
1666913983.8982222,0,85176,0,GPS1_Frame,42.33744433333333,-71.08964266666666,8.8,327854.48583184567,4689358.101108475,19.0,T
1666913985.7139904,0,85177,0,GPS1_Frame,42.337458,-71.0896465,8.8,327854.2073204981,4689359.626448401,19.0,T
1666913987.5302465,0,85178,0,GPS1_Frame,42.33748116666667,-71.08965633333334,8.8,327853.46043015044,4689362.218838156,19.0,T
1666913989.3449492,0,85179,0,GPS1_Frame,42.33751349999999,-71.08967066666668,9.1,327852.3678277198,4689365.83822699,19.0,T
1666913991.160303,0,85181,0,GPS1_Frame,42.33755183333333,-71.08968750000001,9.0,327851.08564036596,4689370.128931766,19.0,T
1666913992.9771776,0,85182,0,GPS1_Frame,42.33759166666667,-71.08970616666667,9.2,327849.6565114296,4689374.589912152,19.0,T
1666913994.79238,0,85183,0,GPS1_Frame,42.337632,-71.08972333333332,9.3,327848.3523243102,4689379.103377221,19.0,T
1666913996.6071312,0,85184,0,GPS1_Frame,42.337671666666665,-71.089741,9.3,327847.0051280571,4689383.543826656,19.0,T
1666913999.831471,0,85198,0,GPS1_Frame,42.33832233333332,-71.08992199999999,9.5,327833.86948797014,4689456.16188381,19.0,T
1666914001.6452603,0,85199,0,GPS1_Frame,42.33837333333333,-71.08994899999999,9.6,327831.7843461552,4689461.879716048,19.0,T
1666914003.4601574,0,85239,0,GPS1_Frame,42.33842583333333,-71.08997583333333,9.2,327829.7170323819,4689467.763775191,19.0,T
1666914005.276811,0,85200,0,GPS1_Frame,42.3384755,-71.08999999999999,10.0,327827.86167599837,4689473.327815306,19.0,T
1666914007.0926273,0,85202,0,GPS1_Frame,42.33852566666666,-71.09002433333333,10.1,327825.99395714316,4689478.947714729,19.0,T
1666914008.904696,0,85203,0,GPS1_Frame,42.338577,-71.09004966666666,10.2,327824.0470435333,4689484.699189176,19.0,T
1666914010.7198489,0,85204,0,GPS1_Frame,42.338629999999995,-71.0900735,10.0,327822.2282558433,4689490.632697583,19.0,T
1666914012.5351095,0,85205,0,GPS1_Frame,42.338683499999995,-71.090098,9.7,327820.35591485753,4689496.623077787,19.0,T
1666914014.3505993,0,85206,0,GPS1_Frame,42.33873883333334,-71.0901225,9.6,327818.4885814631,4689502.817036396,19.0,T
1666914016.1667466,0,85207,0,GPS1_Frame,42.33879333333333,-71.0901545,9.7,327816.00111182674,4689508.933647897,19.0,T
1666914017.9827564,0,85208,0,GPS1_Frame,42.338852333333335,-71.0901835,9.3,327813.7730758107,4689515.543876196,19.0,T
1666914019.795078,0,85209,0,GPS1_Frame,42.33891066666667,-71.09021550000001,9.2,327811.29607903084,4689522.0861523375,19.0,T
1666914021.6111534,0,85210,0,GPS1_Frame,42.338969,-71.09024683333334,9.0,327808.8740085213,4689528.62707948,19.0,T
1666914023.4236634,0,85211,0,GPS1_Frame,42.33902716666667,-71.09027633333334,8.8,327806.60252121236,4689535.14578784,19.0,T
1666914025.2386212,0,85212,0,GPS1_Frame,42.33908383333334,-71.09030233333333,8.5,327804.6152798246,4689541.490845427,19.0,T
1666914026.4748757,0,85226,0,GPS1_Frame,42.33943566666667,-71.09049533333334,11.8,327789.67611537164,4689580.950145594,19.0,T
1666914029.6958373,0,85227,0,GPS1_Frame,42.33943599999999,-71.09049783333333,12.1,327789.4710723434,4689580.992223114,19.0,T
1666914031.5107155,0,85227,0,GPS1_Frame,42.33943666666667,-71.09050016666667,12.3,327789.2806695171,4689581.070977226,19.0,T
1666914033.3247712,0,85228,0,GPS1_Frame,42.339437333333336,-71.09050283333333,12.5,327789.06280629255,4689581.150406459,19.0,T
1666914035.1408646,0,85229,0,GPS1_Frame,42.33943783333334,-71.090505,12.5,327788.8856786753,4689581.21031595,19.0,T
1666914036.956379,0,85230,0,GPS1_Frame,42.33943899999999,-71.09050616666667,12.6,327788.7927522701,4689581.342228366,19.0,T
1666914038.771536,0,85231,0,GPS1_Frame,42.3394405,-71.0905065,12.8,327788.7693868721,4689581.509467127,19.0,T
1666914040.586525,0,85233,0,GPS1_Frame,42.33944150000001,-71.0905075,12.7,327788.6897356749,4689581.622534917,19.0,T
1666914042.4008505,0,85234,0,GPS1_Frame,42.339441,-71.09050966666668,12.9,327788.50987806456,4689581.571401989,19.0,T
1666914044.2167716,0,85235,0,GPS1_Frame,42.33944016666666,-71.09051283333334,12.9,327788.24672924506,4689581.48528029,19.0,T
1666914046.031334,0,85236,0,GPS1_Frame,42.3394395,-71.09051566666668,13.1,327788.0114958205,4689581.416990549,19.0,T
1666914047.845152,0,85237,0,GPS1_Frame,42.3394395,-71.09051766666667,13.2,327787.8467334111,4689581.42104129,19.0,T
1666914049.6610038,0,85238,0,GPS1_Frame,42.33943966666667,-71.0905185,13.2,327787.7785374071,4689581.441236173,19.0,T
1666914051.4759767,0,85239,0,GPS1_Frame,42.3394405,-71.090519,13.1,327787.73962182214,4689581.534784214,19.0,T
1666914053.289797,0,85240,0,GPS1_Frame,42.33944116666667,-71.09051966666667,13.0,327787.68652103445,4689581.610162748,19.0,T
1666914054.9016087,0,85254,0,GPS1_Frame,42.33945116666667,-71.09051550000001,12.0,327788.0570762047,4689582.712147973,19.0,T
1666914058.1253607,0,85255,0,GPS1_Frame,42.339452,-71.09051516666666,12.1,327788.08681161585,4689582.8040082045,19.0,T
1666914059.940405,0,85256,0,GPS1_Frame,42.33945366666667,-71.090516,11.7,327788.0227106523,4689582.990766724,19.0,T
1666914061.756039,0,85257,0,GPS1_Frame,42.339454499999995,-71.09051583333333,11.7,327788.0387158636,4689583.082964517,19.0,T
1666914063.5719297,0,85258,0,GPS1_Frame,42.339456000000006,-71.090516,11.6,327788.02908069175,4689583.249865722,19.0,T
1666914065.3863993,0,85258,0,GPS1_Frame,42.33945716666667,-71.090516,11.5,327788.0322657115,4689583.37941522,19.0,T
1666914067.2021239,0,85260,0,GPS1_Frame,42.339458,-71.090516,11.5,327788.03454072564,4689583.471950576,19.0,T
1666914069.017859,0,85261,0,GPS1_Frame,42.339459000000005,-71.09051583333333,11.3,327788.0510009391,4689583.582655442,19.0,T
1666914070.8328342,0,85262,0,GPS1_Frame,42.33945933333333,-71.09051533333333,11.3,327788.0931015357,4689583.618656898,19.0,T
1666914072.6466365,0,85263,0,GPS1_Frame,42.33945983333333,-71.09051516666666,11.2,327788.10819674004,4689583.673840551,19.0,T
1666914074.462605,0,85263,0,GPS1_Frame,42.33945966666667,-71.09051500000001,11.2,327788.12147193355,4689583.654995917,19.0,T
1666914076.276306,0,85264,0,GPS1_Frame,42.339459500000004,-71.09051483333333,11.1,327788.1347471272,4689583.636151286,19.0,T
1666914078.090908,0,85265,0,GPS1_Frame,42.33945933333333,-71.09051416666667,11.0,327788.18921290967,4689583.616293967,19.0,T
1666914079.9043636,0,85266,0,GPS1_Frame,42.33945933333333,-71.0905135,10.9,327788.2441336969,4689583.614943721,19.0,T
1666914081.7198439,0,85280,0,GPS1_Frame,42.33945816666666,-71.09050633333332,10.5,327788.83134714654,4689583.470879111,19.0,T
1666914084.9431896,0,85281,0,GPS1_Frame,42.339458,-71.09050666666667,10.5,327788.8034317485,4689583.453047162,19.0,T
